DATE,TICKER,PURCHASE_PRICE,SHARES_PURCHASED,TOTAL_VALUE
2026-02-17,RACE,375.28,2.671,1002.37
2026-02-23,DDOG,107.95,9.362,1010.63
2026-03-03,DDOG,111.46,9.081,1012.17
2026-03-10,PRYMY,59.46,16.0,951.36
2026-03-16,PRYMY,56.88,18.0,1023.84
2026-03-24,PRYMY,55.035,19.0,1045.66
2026-03-31,PRYMY,53.99,19.0,1025.81
2026-04-07,EMBJ,62.42,16.02051,1000.0
2026-04-13,RKLB,69.94,14.297,999.93
2026-04-21,EMBJ,67.26,14.876,1000.56
2026-04-27,VEEV,161.87,6.177,999.87
2026-05-04,VEEV,171.32,5.83703,1000.0
2026-05-11,KRYS,310.78,3.218,1000.09
2026-05-19,STN,77.53,12.898,999.98
2026-05-26,GLW,199.4816,5.51429,1100.0
