TRANSACTION_ID,DATE,ACTION,TICKER,PRICE,SHARES,LOT_ID
B000034,2024-10-21,BUY,BTC-USD,67519.89,0.00037032,
B000035,2024-10-28,BUY,BTC-USD,69214.92,0.00036121,
B000036,2024-11-04,BUY,BTC-USD,68595.28,0.00036418,
B000037,2024-11-11,BUY,DOGE-USD,0.32082,78.27,
B000038,2024-11-18,BUY,DOGE-USD,0.381715,65.72,
B000039,2024-11-25,BUY,BTC-USD,96892.69,0.00025798,
B000040,2024-12-02,BUY,BTC-USD,97811.29,0.00025541,
B000041,2024-12-09,BUY,DOGE-USD,0.44152,56.69,
B000042,2024-12-15,BUY,BTC-USD,103357.99,0.00024217,
B000043,2024-12-19,BUY,BTC-USD,97457.97,0.00025641,
B000044,2024-12-23,BUY,BTC-USD,93658.16,0.00026694,
B000045,2024-12-26,BUY,BTC-USD,96572.06,0.00025882,
B000046,2025-01-06,BUY,BTC-USD,102902.66,0.00024294,
B000047,2025-01-14,BUY,BTC-USD,95664.0,0.00026144,
B000048,2025-01-20,BUY,BTC-USD,107216.71,0.00023294,
B000049,2025-01-22,BUY,BTC-USD,104970.48,0.00023832,
B000050,2025-01-27,BUY,BTC-USD,101396.76,0.0002465,
B000051,2025-02-03,BUY,BTC-USD,99481.0,0.0002511,
B000052,2025-02-10,BUY,BTC-USD,98027.61,0.00025524,
B000053,2025-02-17,BUY,ETH-USD,2680.13,0.0094,
B000054,2025-02-27,BUY,BTC-USD,86466.14,0.00028902,
B000055,2025-03-05,BUY,BTC-USD,90414.77,0.00027639,
B000056,2025-03-10,BUY,BTC-USD,80284.5,0.00031147,
B000057,2025-03-17,BUY,BTC-USD,83375.53,0.00030053,
B000058,2025-03-24,BUY,BTC-USD,88729.73,0.00028165,
B000059,2025-03-31,BUY,BTC-USD,82348.44,0.00030343,
B000060,2025-04-07,BUY,BTC-USD,79533.57,0.00031429,
B000061,2025-04-14,BUY,BTC-USD,84599.73,0.00029581,
B000062,2025-04-21,BUY,BTC-USD,88727.13,0.00028163,
B000063,2025-04-28,BUY,BTC-USD,94730.37,0.00026379,
B000064,2025-05-05,BUY,BTC-USD,94746.17,0.00026396,
B000065,2025-05-12,BUY,BTC-USD,103577.87,0.00024246,
B000066,2025-05-19,BUY,BTC-USD,105276.26,0.0002385,
B000067,2025-05-27,BUY,BTC-USD,110850.4,0.00022548,
B000068,2025-06-02,BUY,BTC-USD,105126.05,0.00023784,
B000069,2025-06-09,BUY,BTC-USD,108532.5,0.00023035,
B000070,2025-06-17,BUY,BTC-USD,105152.16,0.00023817,
B000071,2025-06-23,BUY,BTC-USD,102307.56,0.00024426,
B000072,2025-06-30,BUY,BTC-USD,107680.53,0.00023213,
B000073,2025-07-08,BUY,BTC-USD,109023.13,0.00022941,
B000074,2025-07-14,BUY,BTC-USD,121363.35,0.00020598,
B000075,2025-07-21,BUY,BTC-USD,119632.29,0.00020897,
B000076,2025-07-28,BUY,ETH-USD,3874.45,0.006451,
B000077,2025-08-04,BUY,BTC-USD,115916.94,0.00021567,
B000078,2025-08-11,BUY,BTC-USD,121055.69,0.00022539,
B000079,2025-08-18,BUY,ETH-USD,4353.6,0.005774,
B000080,2025-08-20,BUY,ETH-USD,2289.48,0.021625,
B000081,2025-08-25,BUY,ETH-USD,4699.19,0.005321,
B000082,2025-08-28,BUY,ETH-USD,2840.91,7.04e-06,
B000083,2025-08-28,BUY,FBTC,98.54,0.507,
B000084,2025-08-28,BUY,FETH,45.88,1.0,
B000085,2025-08-28,BUY,FETH,45.87,0.089,
B000086,2025-09-04,BUY,FETH,42.89,1.0,
B000087,2025-09-04,BUY,FETH,42.9,0.165,
B000088,2025-09-10,BUY,FETH,44.23,1.0,
B000089,2025-09-10,BUY,FETH,44.23,0.13,
B000090,2025-09-14,BUY,ETH-USD,2426.76,2.8845e-05,
B000091,2025-09-16,BUY,FETH,44.4,0.563,
B000092,2025-09-22,BUY,ETH-USD,4218.88,0.006218,
B000093,2025-09-22,BUY,FETH,41.94,0.598,
B000094,2025-09-28,BUY,ETH-USD,2534.47,1.9728e-05,
B000095,2025-09-29,BUY,FETH,41.16,0.646987,
B000096,2025-10-06,BUY,FETH,47.07,0.551531,
B000097,2025-10-14,BUY,ETH-USD,2377.93,2.5232e-05,
B000098,2025-10-15,BUY,FETH,39.81,0.628061,
B000099,2025-10-22,BUY,FETH,38.39,0.670752,
B000100,2025-10-28,BUY,ETH-USD,2427.77,2.0595e-05,
B000101,2025-10-29,BUY,FETH,39.88,0.933801,
B000102,2025-11-05,BUY,FETH,33.96,0.73616,
B000103,2025-11-10,BUY,FETH,35.35,0.710991,
B000104,2025-11-14,BUY,ETH-USD,2153.97,2.3213e-05,
B000105,2025-11-17,BUY,FETH,30.65,0.832052,
B000106,2025-11-25,BUY,FETH,28.88,1.601731,
B000107,2025-11-28,BUY,ETH-USD,2312.85,2.5942e-05,
B000108,2025-12-09,BUY,FETH,31.29,0.944861,
B000109,2025-12-14,BUY,ETH-USD,2440.45,2.0488e-05,
B000110,2025-12-22,BUY,FETH,30.5,0.819672,
B000111,2025-12-26,BUY,FETH,29.16,0.883113,
B000112,2025-12-28,BUY,ETH-USD,2191.3,1.8254e-05,
B000113,2025-12-29,BUY,FETH,29.33,0.878332,
B000114,2026-01-02,BUY,FETH,31.15,0.850216,
B000115,2026-01-06,BUY,FETH,32.58,0.767348,
B000116,2026-01-12,BUY,FETH,30.92,0.808668,
B000117,2026-01-14,BUY,ETH-USD,2324.39,2.1511e-05,
B000118,2026-01-20,BUY,FETH,30.08,0.831117,
B000119,2026-01-26,BUY,FETH,28.91,0.8648,
B000120,2026-01-28,BUY,ETH-USD,2292.13,1.7451e-05,
B000121,2026-02-03,BUY,FETH,21.94,1.17529,
B000122,2026-02-09,BUY,FETH,21.18,1.180453,
B000123,2026-02-14,BUY,ETH-USD,2142.8,2.3334e-05,
B000124,2026-02-17,BUY,FETH,19.82,1.26167,
B000125,2026-02-23,BUY,FETH,19.0,1.316135,
B000126,2026-02-28,BUY,ETH-USD,2235.76,1.7891e-05,
B000127,2026-03-03,BUY,FETH,19.72,1.268069,
B000128,2026-03-09,BUY,FETH,20.5,1.219809,
B000129,2026-03-12,BUY,FETH,20.37,1.227596,
B000130,2026-03-14,BUY,ETH-USD,2262.19,1.7682e-05,
B000131,2026-03-17,BUY,FETH,23.25,1.0755,
B000132,2026-03-23,BUY,FETH,21.44,1.166044,
B000133,2026-03-28,BUY,ETH-USD,2262.06,1.7683e-05,
B000134,2026-03-30,BUY,FETH,20.31,1.267854,
B000135,2026-04-07,BUY,FETH,20.67,1.318819,
B000136,2026-04-13,BUY,FETH,22.12,1.130454,
B000137,2026-04-14,BUY,ETH-USD,2421.54,2.0648e-05,
B000138,2026-04-21,BUY,FETH,23.1,1.082251,
B000139,2026-04-28,BUY,ETH-USD,2244.42,1.7822e-05,
B000140,2026-05-04,BUY,FETH,23.69,1.05552,
B000141,2026-05-11,BUY,FETH,23.15,1.079913,
B000142,2026-05-18,BUY,ZEC-USD,557.03,0.04442,
B000143,2026-05-26,BUY,ZEC-USD,616.78,0.040614,
B000144,2026-06-01,BUY,ZEC-USD,543.37,0.0461,
B000145,2026-06-08,BUY,ZEC-USD,439.62,0.05632,
B000146,2026-06-15,BUY,ZEC-USD,532.40,0.04734,
B000147,2026-06-22,BUY,ZEC-USD,459.02,0.05446,
B000148,2026-06-29,BUY,ZEC-USD,386.28,0.06411,
B000149,2026-07-06,BUY,ZEC-USD,456.78,0.05418,
B000150,2026-07-14,BUY,ZEC-USD,538.12,0.04601,
B000151,2026-07-20,BUY,ZEC-USD,540.28,0.04624,
B000152,2026-07-28,BUY,ZEC-USD,473.51,0.05279,
B000153,2026-08-03,BUY,ZEC-USD,494.99,0.05001,
B000154,2026-08-10,BUY,ZEC-USD,501.75,0.04933,
B000155,2026-08-17,BUY,ZEC-USD,519.36,0.04813,
B000156,2026-08-24,BUY,ZEC-USD,848.01,0.02948,
B000157,2026-08-31,BUY,ZEC-USD,826.90,0.03023,
